order_id,tenant_id,customer_id,event_id,order_status,gross_amount,fee_amount,tax_amount,currency,created_at_utc
O1,T1,C1,E1,completed,200.00,20.00,15.00,USD,2025-02-20 11:00:00
O2,T1,C2,E1,completed,100.00,10.00,8.00,USD,2025-02-21 09:30:00
O3,T1,C2,E2,cancelled,50.00,5.00,4.00,USD,2025-03-01 18:00:00
O4,T2,C3,E3,completed,300.00,30.00,22.00,GBP,2025-04-01 13:00:00
O5,T2,C3,E3,completed,100.00,10.00,7.00,EUR,2025-04-02 10:00:00
O6,,C4,E3,completed,80.00,8.00,6.00,GBP,2025-04-02 12:00:00
O7,T1,C1,E2,pending,60.00,6.00,5.00,USD,2025-03-10 19:00:00
O8,T1,C2,E1,completed,0.00,0.00,0.00,USD,2025-02-22 10:00:00
O9,T2,C4,E3,completed,250.00,25.00,18.00,GBP,2025-04-03 09:00:00
O10,T1,C1,E4,completed,80.00,8.00,6.00,USD,2025-03-12 10:00:00
